data,abertura,maxima,minima,fechamento,volume
2024-05-24,124731,125257,124259,124306,9211500
2024-05-27,124297,124535,124081,124496,4327600
2024-05-28,124498,125392,123537,123780,9179800
2024-05-29,123780,123780,122458,122707,8257700
2024-05-31,122704,122837,121929,122098,15918600
2024-06-03,122100,122495,121496,122032,8428100
2024-06-04,122032,122032,120878,121802,8529300
2024-06-05,121803,122170,121253,121407,8768700
2024-06-06,121408,123246,121377,122899,8404200
2024-06-07,122899,122899,120679,120767,9801200
2024-06-10,120769,121421,120540,120760,6568400
2024-06-11,120760,121759,120757,121635,7477000
2024-06-12,121644,122483,119544,119936,11278800
2024-06-13,119936,120222,119171,119568,8543000
2024-06-14,119558,120214,118828,119662,7847600
2024-06-17,119663,119663,118685,119138,7380600
2024-06-18,119138,120109,118872,119630,8100100
2024-06-19,119630,120383,118960,120261,5646300
2024-06-20,120267,121607,120156,120446,8659500
2024-06-21,120446,121580,120061,121341,12906900
2024-06-24,121343,122840,121307,122637,7836100
2024-06-25,122804,122849,121997,122331,6942900
2024-06-26,122331,122701,121402,122641,8178800
2024-06-27,122642,124308,122642,124308,8707300
2024-06-28,124308,124500,123298,123907,9070800
2024-07-01,123905,125220,123735,124718,0
2024-07-02,124720,125491,124310,124787,8368000
2024-07-03,124787,126581,124787,125662,8534200
2024-07-04,125666,126660,125666,126164,6535700
2024-07-05,126165,126662,125556,126267,8085600
2024-07-08,126280,126551,125614,126548,7430300
2024-07-09,126548,127295,125937,127108,6684600
2024-07-10,127109,127769,126928,127218,8152600
2024-07-11,127221,128326,127221,128294,7972900
2024-07-12,128293,129015,128002,128897,7206600
2024-07-15,128898,129485,128723,129321,5826900
2024-07-16,129322,129521,128761,129110,6818900
2024-07-17,129112,129658,128741,129450,6672400
2024-07-18,129450,129454,127523,127652,7591500
2024-07-19,127652,128360,127413,127616,7620400
2024-07-22,127616,128151,127456,127860,6098200
2024-07-23,127860,127860,126530,126590,7022900
2024-07-24,126596,126823,126218,126423,7304800
2024-07-25,126423,126423,125626,125954,7134100
2024-07-26,125964,127700,125953,127492,8272000
2024-07-29,127492,127657,126606,126954,7075400
2024-07-30,126951,126951,125973,126139,6848600
2024-07-31,126139,127853,126139,127652,9471900
2024-08-01,127652,128762,127150,127395,9814200
2024-08-02,127395,128104,125731,125854,9950900
2024-08-05,125851,125851,123073,125270,10886100
2024-08-06,125270,126966,125261,126267,10052600
2024-08-07,126268,127517,126268,127514,8837900
2024-08-08,127515,128793,127515,128661,8624000
2024-08-09,128662,130631,128662,130615,11324800
2024-08-12,130615,131662,130615,131116,8601600
2024-08-13,131115,132430,131115,132398,9798900
2024-08-14,132398,133777,132112,133318,12158400
2024-08-15,133319,134575,133319,134153,10534800
2024-08-16,134154,134781,133852,133953,10871900
2024-08-19,133953,136179,133953,135778,11281500
2024-08-20,135779,136330,135312,136087,8106800
2024-08-21,136088,137040,136086,136464,9572200
2024-08-22,136462,136462,134836,135173,8050200
2024-08-23,135174,136478,135174,135608,8649400
2024-08-26,135608,137013,135596,136889,7560000
2024-08-27,136888,137213,136664,136776,6745900
2024-08-28,136776,137469,135746,137344,7457100
2024-08-29,137349,137370,135858,136041,8385100
2024-08-30,136041,136139,134910,136004,18397900
2024-09-02,136004,136004,134497,134981,3666100
2024-09-03,134907,135011,134171,134353,8802400
2024-09-04,134359,136838,134359,136111,9419500
2024-09-05,136112,136656,135959,136502,7528700
2024-09-06,136508,136653,134476,134572,7563300
2024-09-09,134574,135250,134399,134737,6587600
2024-09-10,134738,134738,133754,134320,8253500
2024-09-11,134319,135087,133757,134677,7947300
2024-09-12,134677,134777,133591,134029,7004900
2024-09-13,134031,135879,134031,134882,8866000
2024-09-16,134885,135715,134870,135118,6707000
2024-09-17,135118,135118,134180,134960,7314500
2024-09-18,134960,135203,133748,133748,9792800
2024-09-19,133748,134759,133123,133123,9254500
2024-09-20,133121,133128,130907,131065,13605800
2024-09-23,131065,131065,130100,130568,9140800
2024-09-24,130570,133073,130570,132156,9367100
2024-09-25,132156,132982,131489,131586,10527200
2024-09-26,131595,133313,131594,133010,11618300
2024-09-27,133010,133923,132628,132730,9338900
2024-09-30,132761,133120,131816,131816,9131600
2024-10-01,131817,133405,131817,132495,9841100
2024-10-02,132495,134922,132495,133515,9398700
2024-10-03,133514,133514,131176,131672,9821200
2024-10-04,131672,131936,131156,131792,7054700
2024-10-07,131792,132943,131676,132018,7702100
2024-10-08,132016,132016,130371,131512,9093200
2024-10-09,131510,131520,129719,129962,9220400
2024-10-10,129963,130418,129835,130353,7617300
2024-10-11,130354,130354,129338,129992,7973300
2024-10-14,129992,131220,129729,131005,8502100
2024-10-15,131005,131457,130200,131043,7982900
2024-10-16,131045,132233,130780,131750,10282800
2024-10-17,131716,131716,129902,130793,7086000
2024-10-18,130793,131725,130121,130499,8683700
2024-10-21,130499,131124,130157,130362,7774900
2024-10-22,130346,130346,129094,129721,5522000
2024-10-23,129949,129949,128589,129233,7962200
2024-10-24,129233,130130,128798,130067,8310600
2024-10-25,130067,130529,129806,129893,8513300
2024-10-28,129894,131421,129894,131213,7135300
2024-10-29,131214,131765,130693,130730,7636400
2024-10-30,130730,131027,130473,130639,7327100
2024-10-31,130639,130798,129642,129713,9068100
2024-11-01,129718,129902,128070,128121,9897900
2024-11-04,128130,130609,128128,130515,9013500
2024-11-05,130515,130769,129692,130661,8556100
2024-11-06,130613,130670,128822,130341,10540900
2024-11-07,130341,131319,129406,129682,10520800
2024-11-08,129647,129647,126973,127830,13183200
2024-11-11,127829,128095,127306,127874,8395300
2024-11-12,127873,128210,127411,127698,9522100
2024-11-13,127698,128100,126869,127734,12692800
2024-11-14,127734,128423,127389,127792,13138300
2024-11-18,127791,128277,127226,127768,10742000
2024-11-19,127768,128579,127235,128197,9103600
2024-11-21,128197,128197,126594,126922,10271900
2024-11-22,126944,129126,126944,129126,9186200
2024-11-25,129125,129495,128932,129036,14411200
2024-11-26,129043,130361,129042,129922,9745200
2024-11-27,129923,130283,127669,127669,12318800
2024-11-28,127667,127668,124390,124610,12833100
2024-11-29,124611,126056,123946,125668,16398000
2024-12-02,125668,125901,124734,125236,11517200
2024-12-03,125235,126417,125233,126139,9990000
2024-12-04,126139,126720,125828,126087,9388600
2024-12-05,126088,127989,126087,127858,9530800
2024-12-06,127856,127872,125833,125946,11223300
2024-12-09,125946,127542,125946,127210,9367300
2024-12-10,127213,128511,127213,128228,9141300
2024-12-11,128228,130899,127362,129593,13170900
2024-12-12,129587,129587,125829,126042,13453200
2024-12-13,126102,126290,124578,124612,11762700
2024-12-16,124610,124956,123495,123560,11071100
2024-12-17,123560,125301,123560,124698,17561100
2024-12-18,124699,124699,120457,120772,19742800
2024-12-19,120768,121770,120768,121188,13682900
2024-12-20,121183,122209,120700,122102,18128200
2024-12-23,122105,122105,120617,120767,9953300
2024-12-26,120767,121612,120428,121078,8338500
2024-12-27,121078,121609,120252,120269,8937000
2024-12-30,120267,121050,120158,120283,8895300
2025-01-02,120283,120782,119120,120125,9373600
2025-01-03,120125,120356,118404,118533,9804400
2025-01-06,118534,120322,118534,120022,9685600
2025-01-07,120022,121713,120022,121163,11116400
2025-01-08,121160,121160,119351,119625,10230700
2025-01-09,119625,120145,119502,119781,6611500
2025-01-10,119781,120052,118732,118856,9255500
2025-01-13,118856,119729,118743,119007,8161500
2025-01-14,119007,119451,118223,119299,9349300
2025-01-15,119309,122988,119303,122650,11928800
2025-01-16,122649,122660,120796,121234,11312100
2025-01-17,121258,122674,121074,122350,10242300
2025-01-20,122349,123098,121511,122543,4185300
2025-01-21,122850,123462,122290,123338,7819600
2025-01-22,123345,123865,122926,122972,9975100
2025-01-23,122965,123958,122159,122483,9491400
2025-01-24,122483,122908,122196,122447,7777800
